Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;A-Condutor Moto;102
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AB-Condutor Moto/Carro;9927
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AC-Condutor Moto/Caminhão;6
Centro-Oeste;Distrito Federal;Masculino;18 a 21;AD-Condutor Moto/Ônibus;29
Centro-Oeste;Distrito Federal;Masculino;18 a 21;B-Condutor Carro;15115
Centro-Oeste;Distrito Federal;Masculino;18 a 21;C-Condutor Caminhão;7
Centro-Oeste;Distrito Federal;Masculino;18 a 21;D-Condutor Ônibus;10
Centro-Oeste;Distrito Federal;Masculino;18 a 21;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Masculino;22 a 25;A-Condutor Moto;456
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AB-Condutor Moto/Carro;24033
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AC-Condutor Moto/Caminhão;25
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AD-Condutor Moto/Ônibus;1120
Centro-Oeste;Distrito Federal;Masculino;22 a 25;AE-Condutor Moto/Carreta;68
Centro-Oeste;Distrito Federal;Masculino;22 a 25;B-Condutor Carro;33708
Centro-Oeste;Distrito Federal;Masculino;22 a 25;C-Condutor Caminhão;16
Centro-Oeste;Distrito Federal;Masculino;22 a 25;D-Condutor Ônibus;397
Centro-Oeste;Distrito Federal;Masculino;22 a 25;E-Condutor Carreta;22
Centro-Oeste;Distrito Federal;Masculino;26 a 30;A-Condutor Moto;1024
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AB-Condutor Moto/Carro;40195
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AC-Condutor Moto/Caminhão;31
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AD-Condutor Moto/Ônibus;4417
Centro-Oeste;Distrito Federal;Masculino;26 a 30;AE-Condutor Moto/Carreta;560
Centro-Oeste;Distrito Federal;Masculino;26 a 30;B-Condutor Carro;51349
Centro-Oeste;Distrito Federal;Masculino;26 a 30;C-Condutor Caminhão;12
Centro-Oeste;Distrito Federal;Masculino;26 a 30;D-Condutor Ônibus;1698
Centro-Oeste;Distrito Federal;Masculino;26 a 30;E-Condutor Carreta;124
Centro-Oeste;Distrito Federal;Masculino;31 a 40;A-Condutor Moto;2430
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AB-Condutor Moto/Carro;91095
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AC-Condutor Moto/Caminhão;152
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AD-Condutor Moto/Ônibus;21411
Centro-Oeste;Distrito Federal;Masculino;31 a 40;AE-Condutor Moto/Carreta;3940
Centro-Oeste;Distrito Federal;Masculino;31 a 40;B-Condutor Carro;113631
Centro-Oeste;Distrito Federal;Masculino;31 a 40;C-Condutor Caminhão;93
Centro-Oeste;Distrito Federal;Masculino;31 a 40;D-Condutor Ônibus;9330
Centro-Oeste;Distrito Federal;Masculino;31 a 40;E-Condutor Carreta;1059
Centro-Oeste;Distrito Federal;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;4
Centro-Oeste;Distrito Federal;Masculino;41 a 50;A-Condutor Moto;1631
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AB-Condutor Moto/Carro;59478
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AC-Condutor Moto/Caminhão;1124
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AD-Condutor Moto/Ônibus;25636
Centro-Oeste;Distrito Federal;Masculino;41 a 50;AE-Condutor Moto/Carreta;5394
Centro-Oeste;Distrito Federal;Masculino;41 a 50;B-Condutor Carro;111703
Centro-Oeste;Distrito Federal;Masculino;41 a 50;C-Condutor Caminhão;1009
Centro-Oeste;Distrito Federal;Masculino;41 a 50;D-Condutor Ônibus;21128
Centro-Oeste;Distrito Federal;Masculino;41 a 50;E-Condutor Carreta;3103
Centro-Oeste;Distrito Federal;Masculino;41 a 50;XC-Condutor Ciclomotor/Caminhão;2
Centro-Oeste;Distrito Federal;Masculino;51 a 60;A-Condutor Moto;669
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AB-Condutor Moto/Carro;30896
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AC-Condutor Moto/Caminhão;2328
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AD-Condutor Moto/Ônibus;16011
Centro-Oeste;Distrito Federal;Masculino;51 a 60;AE-Condutor Moto/Carreta;2849
Centro-Oeste;Distrito Federal;Masculino;51 a 60;B-Condutor Carro;81134
Centro-Oeste;Distrito Federal;Masculino;51 a 60;C-Condutor Caminhão;2212
Centro-Oeste;Distrito Federal;Masculino;51 a 60;D-Condutor Ônibus;20215
Centro-Oeste;Distrito Federal;Masculino;51 a 60;E-Condutor Carreta;2587
Centro-Oeste;Distrito Federal;Masculino;51 a 60;XB-Condutor Ciclomotor/Carro;4
Centro-Oeste;Distrito Federal;Masculino;61 a 70;A-Condutor Moto;218
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AB-Condutor Moto/Carro;13451
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AC-Condutor Moto/Caminhão;954
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AD-Condutor Moto/Ônibus;5890
Centro-Oeste;Distrito Federal;Masculino;61 a 70;AE-Condutor Moto/Carreta;890
Centro-Oeste;Distrito Federal;Masculino;61 a 70;B-Condutor Carro;56834
Centro-Oeste;Distrito Federal;Masculino;61 a 70;C-Condutor Caminhão;2047
Centro-Oeste;Distrito Federal;Masculino;61 a 70;D-Condutor Ônibus;14785
Centro-Oeste;Distrito Federal;Masculino;61 a 70;E-Condutor Carreta;1811
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XB-Condutor Ciclomotor/Carro;2
Centro-Oeste;Distrito Federal;Masculino;61 a 70;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Distrito Federal;Masculino;71 a 80;A-Condutor Moto;38
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AB-Condutor Moto/Carro;3825
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AC-Condutor Moto/Caminhão;133
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AD-Condutor Moto/Ônibus;1108
Centro-Oeste;Distrito Federal;Masculino;71 a 80;AE-Condutor Moto/Carreta;127
Centro-Oeste;Distrito Federal;Masculino;71 a 80;B-Condutor Carro;36843
Centro-Oeste;Distrito Federal;Masculino;71 a 80;C-Condutor Caminhão;975
Centro-Oeste;Distrito Federal;Masculino;71 a 80;D-Condutor Ônibus;6461
Centro-Oeste;Distrito Federal;Masculino;71 a 80;E-Condutor Carreta;508
Centro-Oeste;Distrito Federal;Masculino;71 a 80;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Masculino;81 a 90;A-Condutor Moto;18
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AB-Condutor Moto/Carro;1052
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AC-Condutor Moto/Caminhão;33
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AD-Condutor Moto/Ônibus;274
Centro-Oeste;Distrito Federal;Masculino;81 a 90;AE-Condutor Moto/Carreta;8
Centro-Oeste;Distrito Federal;Masculino;81 a 90;B-Condutor Carro;18443
Centro-Oeste;Distrito Federal;Masculino;81 a 90;C-Condutor Caminhão;417
Centro-Oeste;Distrito Federal;Masculino;81 a 90;D-Condutor Ônibus;3072
Centro-Oeste;Distrito Federal;Masculino;81 a 90;E-Condutor Carreta;119
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AB-Condutor Moto/Carro;208
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AC-Condutor Moto/Caminhão;4
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AD-Condutor Moto/Ônibus;34
Centro-Oeste;Distrito Federal;Masculino;91 a 100;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Masculino;91 a 100;B-Condutor Carro;6252
Centro-Oeste;Distrito Federal;Masculino;91 a 100;C-Condutor Caminhão;74
Centro-Oeste;Distrito Federal;Masculino;91 a 100;D-Condutor Ônibus;571
Centro-Oeste;Distrito Federal;Masculino;91 a 100;E-Condutor Carreta;3
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AB-Condutor Moto/Carro;22
Centro-Oeste;Distrito Federal;Masculino;101 a 120;AD-Condutor Moto/Ônibus;2
Centro-Oeste;Distrito Federal;Masculino;101 a 120;B-Condutor Carro;859
Centro-Oeste;Distrito Federal;Masculino;101 a 120;D-Condutor Ônibus;26
Centro-Oeste;Distrito Federal;Feminino;18 a 21;A-Condutor Moto;15
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AB-Condutor Moto/Carro;2373
Centro-Oeste;Distrito Federal;Feminino;18 a 21;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Feminino;18 a 21;B-Condutor Carro;14407
Centro-Oeste;Distrito Federal;Feminino;18 a 21;D-Condutor Ônibus;1
Centro-Oeste;Distrito Federal;Feminino;22 a 25;A-Condutor Moto;156
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AB-Condutor Moto/Carro;5856
Centro-Oeste;Distrito Federal;Feminino;22 a 25;AD-Condutor Moto/Ônibus;15
Centro-Oeste;Distrito Federal;Feminino;22 a 25;B-Condutor Carro;35580
Centro-Oeste;Distrito Federal;Feminino;22 a 25;D-Condutor Ônibus;16
Centro-Oeste;Distrito Federal;Feminino;26 a 30;A-Condutor Moto;405
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AB-Condutor Moto/Carro;10760
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AD-Condutor Moto/Ônibus;92
Centro-Oeste;Distrito Federal;Feminino;26 a 30;AE-Condutor Moto/Carreta;2
Centro-Oeste;Distrito Federal;Feminino;26 a 30;B-Condutor Carro;62617
Centro-Oeste;Distrito Federal;Feminino;26 a 30;D-Condutor Ônibus;155
Centro-Oeste;Distrito Federal;Feminino;26 a 30;E-Condutor Carreta;2
Centro-Oeste;Distrito Federal;Feminino;31 a 40;A-Condutor Moto;965
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AB-Condutor Moto/Carro;24647
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AD-Condutor Moto/Ônibus;635
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AE-Condutor Moto/Carreta;41
Centro-Oeste;Distrito Federal;Feminino;31 a 40;B-Condutor Carro;164148
Centro-Oeste;Distrito Federal;Feminino;31 a 40;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;D-Condutor Ônibus;922
Centro-Oeste;Distrito Federal;Feminino;31 a 40;E-Condutor Carreta;13
Centro-Oeste;Distrito Federal;Feminino;41 a 50;A-Condutor Moto;607
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AB-Condutor Moto/Carro;12525
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AC-Condutor Moto/Caminhão;16
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AD-Condutor Moto/Ônibus;758
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AE-Condutor Moto/Carreta;54
Centro-Oeste;Distrito Federal;Feminino;41 a 50;B-Condutor Carro;153418
Centro-Oeste;Distrito Federal;Feminino;41 a 50;C-Condutor Caminhão;16
Centro-Oeste;Distrito Federal;Feminino;41 a 50;D-Condutor Ônibus;1569
Centro-Oeste;Distrito Federal;Feminino;41 a 50;E-Condutor Carreta;33
Centro-Oeste;Distrito Federal;Feminino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Feminino;51 a 60;A-Condutor Moto;155
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AB-Condutor Moto/Carro;4479
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AC-Condutor Moto/Caminhão;58
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AD-Condutor Moto/Ônibus;339
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AE-Condutor Moto/Carreta;25
Centro-Oeste;Distrito Federal;Feminino;51 a 60;B-Condutor Carro;99937
Centro-Oeste;Distrito Federal;Feminino;51 a 60;C-Condutor Caminhão;114
Centro-Oeste;Distrito Federal;Feminino;51 a 60;D-Condutor Ônibus;1233
Centro-Oeste;Distrito Federal;Feminino;51 a 60;E-Condutor Carreta;23
Centro-Oeste;Distrito Federal;Feminino;61 a 70;A-Condutor Moto;15
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AB-Condutor Moto/Carro;1241
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AC-Condutor Moto/Caminhão;13
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AD-Condutor Moto/Ônibus;58
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AE-Condutor Moto/Carreta;6
Centro-Oeste;Distrito Federal;Feminino;61 a 70;B-Condutor Carro;58303
Centro-Oeste;Distrito Federal;Feminino;61 a 70;C-Condutor Caminhão;60
Centro-Oeste;Distrito Federal;Feminino;61 a 70;D-Condutor Ônibus;434
Centro-Oeste;Distrito Federal;Feminino;61 a 70;E-Condutor Carreta;4
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AB-Condutor Moto/Carro;154
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AD-Condutor Moto/Ônibus;8
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AE-Condutor Moto/Carreta;1
Centro-Oeste;Distrito Federal;Feminino;71 a 80;B-Condutor Carro;26564
Centro-Oeste;Distrito Federal;Feminino;71 a 80;C-Condutor Caminhão;16
Centro-Oeste;Distrito Federal;Feminino;71 a 80;D-Condutor Ônibus;107
Centro-Oeste;Distrito Federal;Feminino;71 a 80;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AB-Condutor Moto/Carro;13
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Distrito Federal;Feminino;81 a 90;B-Condutor Carro;8245
Centro-Oeste;Distrito Federal;Feminino;81 a 90;C-Condutor Caminhão;4
Centro-Oeste;Distrito Federal;Feminino;81 a 90;D-Condutor Ônibus;23
Centro-Oeste;Distrito Federal;Feminino;91 a 100;AB-Condutor Moto/Carro;5
Centro-Oeste;Distrito Federal;Feminino;91 a 100;B-Condutor Carro;1629
Centro-Oeste;Distrito Federal;Feminino;101 a 120;B-Condutor Carro;115
Centro-Oeste;Distrito Federal;Feminino;101 a 120;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;18 a 21;A-Condutor Moto;1107
Centro-Oeste;Goiás;Masculino;18 a 21;AB-Condutor Moto/Carro;46442
Centro-Oeste;Goiás;Masculino;18 a 21;AC-Condutor Moto/Caminhão;166
Centro-Oeste;Goiás;Masculino;18 a 21;AD-Condutor Moto/Ônibus;168
Centro-Oeste;Goiás;Masculino;18 a 21;AE-Condutor Moto/Carreta;15
Centro-Oeste;Goiás;Masculino;18 a 21;B-Condutor Carro;15074
Centro-Oeste;Goiás;Masculino;18 a 21;C-Condutor Caminhão;25
Centro-Oeste;Goiás;Masculino;18 a 21;D-Condutor Ônibus;14
Centro-Oeste;Goiás;Masculino;18 a 21;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;22 a 25;A-Condutor Moto;4238
Centro-Oeste;Goiás;Masculino;22 a 25;AB-Condutor Moto/Carro;93236
Centro-Oeste;Goiás;Masculino;22 a 25;AC-Condutor Moto/Caminhão;408
Centro-Oeste;Goiás;Masculino;22 a 25;AD-Condutor Moto/Ônibus;4056
Centro-Oeste;Goiás;Masculino;22 a 25;AE-Condutor Moto/Carreta;643
Centro-Oeste;Goiás;Masculino;22 a 25;B-Condutor Carro;27558
Centro-Oeste;Goiás;Masculino;22 a 25;C-Condutor Caminhão;48
Centro-Oeste;Goiás;Masculino;22 a 25;D-Condutor Ônibus;320
Centro-Oeste;Goiás;Masculino;22 a 25;E-Condutor Carreta;64
Centro-Oeste;Goiás;Masculino;26 a 30;A-Condutor Moto;8422
Centro-Oeste;Goiás;Masculino;26 a 30;AB-Condutor Moto/Carro;137044
Centro-Oeste;Goiás;Masculino;26 a 30;AC-Condutor Moto/Caminhão;980
Centro-Oeste;Goiás;Masculino;26 a 30;AD-Condutor Moto/Ônibus;13441
Centro-Oeste;Goiás;Masculino;26 a 30;AE-Condutor Moto/Carreta;3725
Centro-Oeste;Goiás;Masculino;26 a 30;B-Condutor Carro;35028
Centro-Oeste;Goiás;Masculino;26 a 30;C-Condutor Caminhão;91
Centro-Oeste;Goiás;Masculino;26 a 30;D-Condutor Ônibus;972
Centro-Oeste;Goiás;Masculino;26 a 30;E-Condutor Carreta;208
Centro-Oeste;Goiás;Masculino;31 a 40;A-Condutor Moto;20405
Centro-Oeste;Goiás;Masculino;31 a 40;AB-Condutor Moto/Carro;260517
Centro-Oeste;Goiás;Masculino;31 a 40;AC-Condutor Moto/Caminhão;2848
Centro-Oeste;Goiás;Masculino;31 a 40;AD-Condutor Moto/Ônibus;56371
Centro-Oeste;Goiás;Masculino;31 a 40;AE-Condutor Moto/Carreta;22903
Centro-Oeste;Goiás;Masculino;31 a 40;B-Condutor Carro;72106
Centro-Oeste;Goiás;Masculino;31 a 40;C-Condutor Caminhão;469
Centro-Oeste;Goiás;Masculino;31 a 40;D-Condutor Ônibus;5953
Centro-Oeste;Goiás;Masculino;31 a 40;E-Condutor Carreta;2244
Centro-Oeste;Goiás;Masculino;41 a 50;A-Condutor Moto;14740
Centro-Oeste;Goiás;Masculino;41 a 50;AB-Condutor Moto/Carro;175305
Centro-Oeste;Goiás;Masculino;41 a 50;AC-Condutor Moto/Caminhão;7993
Centro-Oeste;Goiás;Masculino;41 a 50;AD-Condutor Moto/Ônibus;53857
Centro-Oeste;Goiás;Masculino;41 a 50;AE-Condutor Moto/Carreta;25162
Centro-Oeste;Goiás;Masculino;41 a 50;B-Condutor Carro;80373
Centro-Oeste;Goiás;Masculino;41 a 50;C-Condutor Caminhão;3182
Centro-Oeste;Goiás;Masculino;41 a 50;D-Condutor Ônibus;14462
Centro-Oeste;Goiás;Masculino;41 a 50;E-Condutor Carreta;7424
Centro-Oeste;Goiás;Masculino;51 a 60;A-Condutor Moto;9902
Centro-Oeste;Goiás;Masculino;51 a 60;AB-Condutor Moto/Carro;98957
Centro-Oeste;Goiás;Masculino;51 a 60;AC-Condutor Moto/Caminhão;12496
Centro-Oeste;Goiás;Masculino;51 a 60;AD-Condutor Moto/Ônibus;35651
Centro-Oeste;Goiás;Masculino;51 a 60;AE-Condutor Moto/Carreta;13140
Centro-Oeste;Goiás;Masculino;51 a 60;B-Condutor Carro;76302
Centro-Oeste;Goiás;Masculino;51 a 60;C-Condutor Caminhão;8043
Centro-Oeste;Goiás;Masculino;51 a 60;D-Condutor Ônibus;20921
Centro-Oeste;Goiás;Masculino;51 a 60;E-Condutor Carreta;7750
Centro-Oeste;Goiás;Masculino;51 a 60;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Goiás;Masculino;61 a 70;A-Condutor Moto;4404
Centro-Oeste;Goiás;Masculino;61 a 70;AB-Condutor Moto/Carro;42076
Centro-Oeste;Goiás;Masculino;61 a 70;AC-Condutor Moto/Caminhão;7664
Centro-Oeste;Goiás;Masculino;61 a 70;AD-Condutor Moto/Ônibus;14475
Centro-Oeste;Goiás;Masculino;61 a 70;AE-Condutor Moto/Carreta;4529
Centro-Oeste;Goiás;Masculino;61 a 70;B-Condutor Carro;70324
Centro-Oeste;Goiás;Masculino;61 a 70;C-Condutor Caminhão;12424
Centro-Oeste;Goiás;Masculino;61 a 70;D-Condutor Ônibus;19442
Centro-Oeste;Goiás;Masculino;61 a 70;E-Condutor Carreta;6428
Centro-Oeste;Goiás;Masculino;71 a 80;A-Condutor Moto;1455
Centro-Oeste;Goiás;Masculino;71 a 80;AB-Condutor Moto/Carro;15016
Centro-Oeste;Goiás;Masculino;71 a 80;AC-Condutor Moto/Caminhão;1716
Centro-Oeste;Goiás;Masculino;71 a 80;AD-Condutor Moto/Ônibus;2920
Centro-Oeste;Goiás;Masculino;71 a 80;AE-Condutor Moto/Carreta;505
Centro-Oeste;Goiás;Masculino;71 a 80;B-Condutor Carro;51122
Centro-Oeste;Goiás;Masculino;71 a 80;C-Condutor Caminhão;6185
Centro-Oeste;Goiás;Masculino;71 a 80;D-Condutor Ônibus;8569
Centro-Oeste;Goiás;Masculino;71 a 80;E-Condutor Carreta;1679
Centro-Oeste;Goiás;Masculino;81 a 90;A-Condutor Moto;360
Centro-Oeste;Goiás;Masculino;81 a 90;AB-Condutor Moto/Carro;3724
Centro-Oeste;Goiás;Masculino;81 a 90;AC-Condutor Moto/Caminhão;326
Centro-Oeste;Goiás;Masculino;81 a 90;AD-Condutor Moto/Ônibus;559
Centro-Oeste;Goiás;Masculino;81 a 90;AE-Condutor Moto/Carreta;30
Centro-Oeste;Goiás;Masculino;81 a 90;B-Condutor Carro;24575
Centro-Oeste;Goiás;Masculino;81 a 90;C-Condutor Caminhão;2569
Centro-Oeste;Goiás;Masculino;81 a 90;D-Condutor Ônibus;3415
Centro-Oeste;Goiás;Masculino;81 a 90;E-Condutor Carreta;262
Centro-Oeste;Goiás;Masculino;91 a 100;A-Condutor Moto;42
Centro-Oeste;Goiás;Masculino;91 a 100;AB-Condutor Moto/Carro;538
Centro-Oeste;Goiás;Masculino;91 a 100;AC-Condutor Moto/Caminhão;26
Centro-Oeste;Goiás;Masculino;91 a 100;AD-Condutor Moto/Ônibus;40
Centro-Oeste;Goiás;Masculino;91 a 100;AE-Condutor Moto/Carreta;1
Centro-Oeste;Goiás;Masculino;91 a 100;B-Condutor Carro;8290
Centro-Oeste;Goiás;Masculino;91 a 100;C-Condutor Caminhão;369
Centro-Oeste;Goiás;Masculino;91 a 100;D-Condutor Ônibus;556
Centro-Oeste;Goiás;Masculino;91 a 100;E-Condutor Carreta;24
Centro-Oeste;Goiás;Masculino;101 a 120;A-Condutor Moto;1
Centro-Oeste;Goiás;Masculino;101 a 120;AB-Condutor Moto/Carro;24
Centro-Oeste;Goiás;Masculino;101 a 120;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Goiás;Masculino;101 a 120;AD-Condutor Moto/Ônibus;1
Centro-Oeste;Goiás;Masculino;101 a 120;B-Condutor Carro;1027
Centro-Oeste;Goiás;Masculino;101 a 120;C-Condutor Caminhão;14
Centro-Oeste;Goiás;Masculino;101 a 120;D-Condutor Ônibus;21
Centro-Oeste;Goiás;Feminino;18 a 21;A-Condutor Moto;647
Centro-Oeste;Goiás;Feminino;18 a 21;AB-Condutor Moto/Carro;18578
Centro-Oeste;Goiás;Feminino;18 a 21;AC-Condutor Moto/Caminhão;2
Centro-Oeste;Goiás;Feminino;18 a 21;AD-Condutor Moto/Ônibus;4
Centro-Oeste;Goiás;Feminino;18 a 21;B-Condutor Carro;17945
Centro-Oeste;Goiás;Feminino;22 a 25;A-Condutor Moto;2295
Centro-Oeste;Goiás;Feminino;22 a 25;AB-Condutor Moto/Carro;43638
Centro-Oeste;Goiás;Feminino;22 a 25;AC-Condutor Moto/Caminhão;11
Centro-Oeste;Goiás;Feminino;22 a 25;AD-Condutor Moto/Ônibus;134
Centro-Oeste;Goiás;Feminino;22 a 25;AE-Condutor Moto/Carreta;4
Centro-Oeste;Goiás;Feminino;22 a 25;B-Condutor Carro;36251
Centro-Oeste;Goiás;Feminino;22 a 25;C-Condutor Caminhão;1
Centro-Oeste;Goiás;Feminino;22 a 25;D-Condutor Ônibus;19
Centro-Oeste;Goiás;Feminino;26 a 30;A-Condutor Moto;5845
Centro-Oeste;Goiás;Feminino;26 a 30;AB-Condutor Moto/Carro;74287
Centro-Oeste;Goiás;Feminino;26 a 30;AC-Condutor Moto/Caminhão;17
Centro-Oeste;Goiás;Feminino;26 a 30;AD-Condutor Moto/Ônibus;573
Centro-Oeste;Goiás;Feminino;26 a 30;AE-Condutor Moto/Carreta;53
Centro-Oeste;Goiás;Feminino;26 a 30;B-Condutor Carro;54275
Centro-Oeste;Goiás;Feminino;26 a 30;C-Condutor Caminhão;3
Centro-Oeste;Goiás;Feminino;26 a 30;D-Condutor Ônibus;67
Centro-Oeste;Goiás;Feminino;26 a 30;E-Condutor Carreta;4
Centro-Oeste;Goiás;Feminino;31 a 40;A-Condutor Moto;16427
Centro-Oeste;Goiás;Feminino;31 a 40;AB-Condutor Moto/Carro;151818
Centro-Oeste;Goiás;Feminino;31 a 40;AC-Condutor Moto/Caminhão;67
Centro-Oeste;Goiás;Feminino;31 a 40;AD-Condutor Moto/Ônibus;2585
Centro-Oeste;Goiás;Feminino;31 a 40;AE-Condutor Moto/Carreta;360
Centro-Oeste;Goiás;Feminino;31 a 40;B-Condutor Carro;129141
Centro-Oeste;Goiás;Feminino;31 a 40;C-Condutor Caminhão;30
Centro-Oeste;Goiás;Feminino;31 a 40;D-Condutor Ônibus;555
Centro-Oeste;Goiás;Feminino;31 a 40;E-Condutor Carreta;26
Centro-Oeste;Goiás;Feminino;41 a 50;A-Condutor Moto;14021
Centro-Oeste;Goiás;Feminino;41 a 50;AB-Condutor Moto/Carro;87406
Centro-Oeste;Goiás;Feminino;41 a 50;AC-Condutor Moto/Caminhão;116
Centro-Oeste;Goiás;Feminino;41 a 50;AD-Condutor Moto/Ônibus;2006
Centro-Oeste;Goiás;Feminino;41 a 50;AE-Condutor Moto/Carreta;357
Centro-Oeste;Goiás;Feminino;41 a 50;B-Condutor Carro;129455
Centro-Oeste;Goiás;Feminino;41 a 50;C-Condutor Caminhão;66
Centro-Oeste;Goiás;Feminino;41 a 50;D-Condutor Ônibus;988
Centro-Oeste;Goiás;Feminino;41 a 50;E-Condutor Carreta;81
Centro-Oeste;Goiás;Feminino;51 a 60;A-Condutor Moto;6302
Centro-Oeste;Goiás;Feminino;51 a 60;AB-Condutor Moto/Carro;29280
Centro-Oeste;Goiás;Feminino;51 a 60;AC-Condutor Moto/Caminhão;155
Centro-Oeste;Goiás;Feminino;51 a 60;AD-Condutor Moto/Ônibus;703
Centro-Oeste;Goiás;Feminino;51 a 60;AE-Condutor Moto/Carreta;97
Centro-Oeste;Goiás;Feminino;51 a 60;B-Condutor Carro;100646
Centro-Oeste;Goiás;Feminino;51 a 60;C-Condutor Caminhão;194
Centro-Oeste;Goiás;Feminino;51 a 60;D-Condutor Ônibus;856
Centro-Oeste;Goiás;Feminino;51 a 60;E-Condutor Carreta;69
Centro-Oeste;Goiás;Feminino;61 a 70;A-Condutor Moto;1190
Centro-Oeste;Goiás;Feminino;61 a 70;AB-Condutor Moto/Carro;4874
Centro-Oeste;Goiás;Feminino;61 a 70;AC-Condutor Moto/Caminhão;41
Centro-Oeste;Goiás;Feminino;61 a 70;AD-Condutor Moto/Ônibus;113
Centro-Oeste;Goiás;Feminino;61 a 70;AE-Condutor Moto/Carreta;22
Centro-Oeste;Goiás;Feminino;61 a 70;B-Condutor Carro;60628
Centro-Oeste;Goiás;Feminino;61 a 70;C-Condutor Caminhão;164
Centro-Oeste;Goiás;Feminino;61 a 70;D-Condutor Ônibus;372
Centro-Oeste;Goiás;Feminino;61 a 70;E-Condutor Carreta;20
Centro-Oeste;Goiás;Feminino;71 a 80;A-Condutor Moto;119
Centro-Oeste;Goiás;Feminino;71 a 80;AB-Condutor Moto/Carro;498
Centro-Oeste;Goiás;Feminino;71 a 80;AC-Condutor Moto/Caminhão;8
